fine_id,issue_id,amount,paid
1,31,37.6,false
2,19,33.7,true
3,40,16.7,false
4,15,2.4,false
5,10,21.0,true
6,1,30.7,true
7,7,27.6,true
8,5,11.7,false
9,5,21.7,true
10,20,21.5,false
11,19,35.4,false
12,15,21.7,true
13,47,9.9,true
14,3,20.8,true
15,24,7.3,false
16,1,28.6,false
17,45,22.7,false
18,17,13.1,true
19,33,31.2,true
20,6,0.7,false
21,26,40.6,true
22,45,39.7,true
23,21,36.4,true
24,1,41.4,true
25,14,18.5,false
26,7,1.9,false
27,43,27.0,false
28,44,25.1,false
29,6,16.4,true
30,4,25.9,true
31,30,14.6,true
32,31,10.5,true
33,22,7.2,true
34,27,16.7,false
35,27,6.2,false
36,1,25.1,false
37,25,46.3,false
38,38,24.5,false
39,32,34.0,true
40,29,16.9,false
41,45,37.3,false
42,17,11.4,false
43,15,46.3,true
44,8,43.8,true
45,37,28.9,false
46,45,43.7,true
47,46,39.0,false
48,3,42.3,true
49,2,1.3,true
50,33,7.4,true
